NomDeNaissance;Prenom;Sexe;DateNaissance;CommuneDeNaissance;DepartementDeNaissance;PaysDeNaissance;DateDeces;CommuneDeDeces;Nationalite;LibelleProfession;Sources;Divers
HANOTIN;MATHIEU;M;22/08/1978;COMPIEGNE;OISE;France;NON;NA;Français;Cadre mairie;WIKIPEDIA;
HERVE;STEPHEN;M;NA;NA;NA;NA;NON;NA;NA;NA;NA;
HOLEINDRE;ROGER;M;21/03/1929;CORRANO;CORSE;France;30/01/2020;VAUCRESSON;Français;Ouvrier-e;WIKIPEDIA;Résistance
HOUDREMONT;JEAN;M;04/10/1924;PARIS;PARIS;France;25/01/1973;LA COURNEUVE;Français;Dessinateur industriel;WIKIPEDIA;
ISABET;JACQUES;M;10/07/1939;NA;NA;France;NON;NA;Français;Cadre parti;ARCHIVES;
JACQUAINT;MUGUETTE;F;12/05/1942;AUBERVILLIERS;SEINE SAINT DENIS;France;NON;NA;Français;Ouvrier-e;WIKIPEDIA;
KARMAN;ANDRE;M;10/03/1924;AUBERVILLIERS;SEINE SAINT DENIS;France;31/05/1984;PARIS;Français;Ouvrier-e;WIKIPEDIA;Résistance
KELOUA HACHI;FATIHA;F;05/06/1971;PARIS;PARIS;France;NON;NA;Français;Enseignant-e;WIKIPEDIA;
KERAUTRET;PIERRE;M;11/05/1899;SAINT PIERRE QUILBIGNON;FINISTERE;France;11/01/1967;ROMAINVILLE;Français;Forgeron-e;MAITRON;
KERN;BERTRAND;M;04/02/1962;BELFORT;BELFORT;France;NON;NA;Français;Cadre bancaire;WIKIPEDIA;
KLEIN;OLIVIER;M;16/02/1967;CLICHY SOUS BOIS;SEINE SAINT DENIS;France;NON;NA;Français;Enseignant-e;WIKIPEDIA;
LACHAUD;BASTIEN;M;05/08/1980;VITRY SUR SEINE;VAL DE MARNE;France;NON;NA;Français;Enseignant-e;WIKIPEDIA;
LAGARDE;JEAN CHRISTOPHE;M;24/10/1967;CHATELLERAULT;VIENNE;France;NON;NA;Français;NA;WIKIPEDIA;
LAINAT;FERNAND;M;01/11/1924;NA;ALLIER;France;05/01/2015;LOUROUX BOURBONNAIS;Français;RATP;ARCHIVES;
LE ROUX;BRUNO;M;02/05/1965;GENNEVILLIERS;HAUTS DE SEINE;France;NON;NA;Français;NA;WIKIPEDIA;
LEFORT;FERNAND;M;09/10/1911;PARIS;PARIS;France;02/10/1991;SAINT OUEN;Français;Technicien;WIKIPEDIA;
LEGAVRE;JEROME;M;20/08/1972;RENNES;ILLE ET VILAINE;France;NON;NA;Français;Enseignant-e;WIKIPEDIA;
LOLIVE;JEAN;M;06/06/1910;BRIGNAIS;RHONE;France;06/09/1968;PANTIN;Français;Ouvrier-e;WIKIPEDIA;Résistance
MAHEAS;JACQUES;M;10/09/1939;IVRY SUR SEINE;VAL DE MARNE;France;20/08/2022;NICE;Français;Enseignant-e;WIKIPEDIA;
MARSON;JAMES;M;01/11/1926;VILLECRESNES;VAL DE MARNE;France;01/12/2017;NANTES;Français;Dessinateur industriel;WIKIPEDIA;
MARSIGNY;BRIGITTE;F;11/07/1952;NA;NA;NA;NON;NA;Français;Avocat-e;WIKIPEDIA;
MASSONNAUD RICHARD;FRANCOISE;F;NA;NA;NA;NA;NON;NA;Français;Agent-e assurances;WIKIPEDIA;
MARCHELART;GERARD;M;01/01/1928;NA;NA;NA;NA;NA;NA;NA;NA;
NEIERTZ;VERONIQUE;F;06/11/1942;PARIS;PARIS;France;NON;NA;Français;Enseignant-e;WIKIPEDIA;
NILES;MAURICE;M;12/09/1919;PARIS;PARIS;France;05/12/2001;BOBIGNY;Français;Employé-e de ville;WIKIPEDIA;Résistance
ODRU;LOUIS;M;09/12/1918;SOSPEL;ALPES MARITIMES;France;10/09/2004;MONTREUIL;Français;Instituteur-ice;WIKIPEDIA;
OUDOT;JACQUES;M;15/06/1934;LILAS;SEINE SAINT DENIS;France;NON;NA;Français;NA;WIKIPEDIA;
ORY;ANDRE;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;
PAILLARD;DIDIER;M;01/12/1954;SAINT DENIS;SEINE SAINT DENIS;France;NON;NA;Français;Ouvrier-e;WIKIPEDIA;
PAJON;MICHEL;M;30/06/1949;DRANCY;SEINE SAINT DENIS;France;NON;NA;Français;Universitaire;WIKIPEDIA;
PANDRAUD;ROBERT;M;16/10/1928;PUY EN VELAY;HAUTE LOIRE;France;18/02/2010;SURESNES;Français;Police nationale;WIKIPEDIA;
PEU;STEPHANE;M;24/07/1962;PAU;PYRENNEES ATLANTIQUES;France;NON;NA;Français;NA;WIKIPEDIA;
PIERNA;LOUIS;M;16/01/1933;STAINS;SEINE SAINT DENIS;France;28/04/2021;TUNIS;Français;Chaudronnier-e;WIKIPEDIA;
POCHON;ELISABETH;F;19/04/1955;CONSTANTINE;NA;Algérie;NON;NA;Français;CPE;WIKIPEDIA;
PONTONE;ANTOINE;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;
POPELIN;PASCAL;M;27/02/1967;PARIS;PARIS;France;NON;NA;Français;Chargé-e de projet conseil départemental;WIKIPEDIA;
PORTES;THOMAS;M;18/11/1925;CARMAUX;TARN;France;NON;NA;Français;SNCF;WIKIPEDIA;
POUX;GILLES;M;07/06/1957;CAPDENAC;AVEYRON;France;NON;NA;Français;Technicien;WIKIPEDIA;
RALITE;JACK;M;14/05/1928;CHALONS SUR MARNE;MARNE;France;12/11/2017;AUBERVILLIERS;Français;Journaliste;WIKIPEDIA;
RAMADIER;ALAIN;M;08/07/1958;NA;NA;NA;NON;NA;Français;NA;WIKIPEDIA;
RAOULT;ERIC;M;19/06/1955;PARIS;PARIS;France;16/04/2021;SAINT DENIS;Français;NA;WIKIPEDIA;
ROCHET;WALDECK;M;05/04/1905;SAINTE CROIX;SAONE ET LOIRE;France;15/02/1983;NANTERRE;Français;Maraîcher;WIKIPEDIA;Résistance
ROGER;GILBERT;M;09/11/1953;BONDY;SEINE SAINT DENIS;France;NON;NA;Français;NA;WIKIPEDIA;
RUBIN;SABINE;F;13/08/1960;PARIS;PARIS;France;NON;NA;Français;Enseignant-e;WIKIPEDIA;
SALLES;JEAN JACK;M;17/02/1935;CONSTANTINE;NA;Algérie;24/08/2009;NA;Français;Inspecteur-ice assurances;WIKIPEDIA;
SALVATOR;JACQUES;M;02/01/1949;PARIS;PARIS;France;11/03/2016;PARIS;Français;Medecin;WIKIPEDIA;
SERELLE;MARIUS;M;07/09/1905;CHATEAURENAULT;INDRE ET LOIRE;France;22/04/1977;CRETEIL;Français;Employé-e de ville;WIKIPEDIA;
SOLBES;LOUIS;M;27/03/1924;CORBENY;AISNE;France;22/01/1987;VILLEPINTE;Français;Instituteur-ice;MAITRON;
TESTE;STEPHANE;M;10/05/1968;AULNAY SOUS BOIS;SEINE SAINT DENIS;France;NON;NA;Français;Enseignant-e;WIKIPEDIA;
THOMASSIN;SYLVINE;F;13/12/1959;LYON;BOUCHES DU RHONE;France;NON;NA;Français;Infirmier-e;WIKIPEDIA;
TOUTAIN;ANDRE;M;01/03/1905;NIMES;GARD;France;10/10/1978;SAINT MEDARD EN JALLES;Français;Comptable;WIKIPEDIA;
TROUVE;AURELIE;F;20/09/1979;CHAUNY;AISNE;France;NON;NA;Français;Ingénieur-e;WIKIPEDIA;
VALLS;CORINNE;F;02/02/1957;MARSEILLE;BOUCHES DU RHONE;France;NON;NA;Français;Cadre territoriale;WIKIPEDIA;
VALENET;RAYMOND;M;06/08/1912;PARIS;PARIS;France;21/09/1978;EAUBONNE;Français;NA;WIKIPEDIA;Déporté
VERGNAUD;BERNARD;M;01/01/1932;NA;NA;NA;03/04/2000;CUBJAC;Français;Mécanographe;PRESSE;
VOYNET;DOMINIQUE;F;04/11/1958;MONTBELIARD;DOUBS;France;NON;NA;Français;Medecin;WIKIPEDIA;
YONNET;EVELYNE;F;09/10/1954;NA;NA;NA;NON;NA;Français;NA;WIKIPEDIA;
ZARKA;PIERRE;M;16/09/1948;PARIS;PARIS;France;NON;NA;Français;NA;WIKIPEDIA;
PROBERT;GERARD;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;
CHAPUIS;CHRISTIAN;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;
DECHAMPS;ANDRE;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;
CALTOT;ROGER;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;
MARY;GUSTAVE;M;NA;NA;NA;NA;NA;NA;NA;Medecin;NA;
HOUYOUX;MAURICE;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;
CORRE;CHARLES;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;
CADOT;ANDRE;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;Résistance
LE BRIS;ALBERT;M;01/01/1934;NA;NA;NA;04/06/2008;NA;NA;Cadre;PRESSE;
GAILLANT;FREDERIC;M;NA;NA;NA;NA;NON;NA;NA;Cadre;WIKIPEDIA;
HOPPE;YANNICK;M;07/12/1983;DIJON;COTE D'OR;France;NON;NA;Français;Collaborateur politique;PRESSE;
BORSALI;JEAN BAPTISTE;M;04/04/1988;NA;NA;NA;NON;NA;NA;Communication;WIKIPEDIA;
COLSON;MARCEL;M;NA;NA;NA;NA;01/03/1968;NA;NA;NA;NA;
GENESTIER;JEAN MICHEL;M;16/05/1962;RAINCY;SEINE SAINT DENIS;France;NON;NA;Français;Cadre commercial;PRESSE;
MEGE;RAYMOND;M;01/01/1919;NA;NA;NA;24/08/2009;RAINCY;Français;Ingénieur-e;PRESSE;
DOUDEY;LUCIEN;M;NA;NA;NA;NA;01/01/1976;NA;NA;NA;WIKIPEDIA;
THOMAS;PIERRE;M;01/01/1929;;;France;28/06/2008;;Français;Technicien;PRESSE;
SEGURA;GERARD;M;24/05/1948;AMMI MOUSSA;;Algérie;NON;NA;Français;Enseignant-e;WIKIPEDIA;
BESCHIZZA;BRUNO;M;24/03/1968;SAINT MANDE;VAL DE MARNE;France;NON;NA;Français;Police nationale;WIKIPEDIA;
CONTE;GILBERT;M;01/01/1941;;;;;;Français;Ingénieur-e;PRESSE;
LAGARDE;AUDE;F;15/05/1976;CASTELNAUDARY;AUDE;France;NON;NA;Français;;POLITIQUEMANIA;Femme d'élu
GUESNIER;RENE;M;07/01/1919;CLICHY LA GARENNE;HAUTS DE SEINE;France;19/05/1999;GONESSE;Français;Commerce;MAITRON;Résistance
VALBON;GEORGES;M;08/08/1924;LUNERY;CHER;France;18/07/2009;;Français;Ouvrier-e;MAITRON;
PEYGE;Catherine;F;08/10/1959;MARIGNAC;HAUTE GARONNE;France;NON;NA;Français;Enseignant-e;WIKIPEDIA;
PAOLI;Stephane;M;01/01/1900;;;;NON;NA;Français;Ingénieur-e;PRESSE;
SADI;Abdel;M;11/02/1962;;;;NON;NA;;Enseignant-e;PRESSE;
