"Id","IdIndividu","IdEluRNEHisto","IdEluSenat","IdEluAssemblee","NomDeNaissance","Prenom","Sexe","DateDeNaissance","TypeMandat","DateDebutMandat","DateFinMandat","MotifFinMandat","TypeFonction","DateDebutFonction","DateFinFonction","MotifFinFonction","NuancePolitique","IdTerritoire","NomTerritoire","TypeTerritoire","Sources"
"ain_003",NA,NA,NA,NA,"ANTHONIOZ","MARCEL","M",1911-04-26,"DEPUTE",1973-03-04,1976-08-31,"DC","VP",1973-03-04,1976-08-31,"DC","CENTRE",NA,"2EME CIRCONSCRIPTION DE L'AIN","Circonscription legislative","WIKIPEDIA"
"ain_003",NA,NA,NA,NA,"ANTHONIOZ","MARCEL","M",1911-04-26,"DEPUTE",1958-11-23,1962-11-15,"FM",NA,NA,NA,NA,"IPAS",NA,"2EME CIRCONSCRIPTION DE L'AIN","Circonscription legislative","WIKIPEDIA"
"ain_003",NA,NA,NA,NA,"ANTHONIOZ","MARCEL","M",1911-04-26,"DEPUTE",1962-11-18,1967-03-01,"FM",NA,NA,NA,NA,"CENTRE",NA,"2EME CIRCONSCRIPTION DE L'AIN","Circonscription legislative","WIKIPEDIA"
"ain_023",NA,NA,NA,NA,"CARRIER","MICHEL","M",1906-10-02,"DEPUTE",1969-07-23,1973-04-01,"FM",NA,NA,NA,NA,"CENTRE",NA,"2EME CIRCONSCRIPTION DE L'AIN","Circonscription legislative","WIKIPEDIA"
"ain_023",NA,NA,NA,NA,"CARRIER","MICHEL","M",1906-10-02,"DEPUTE",1976-08-31,1978-04-02,"FM",NA,NA,NA,NA,"CENTRE",NA,"2EME CIRCONSCRIPTION DE L'AIN","Circonscription legislative","WIKIPEDIA"
"ain_028",NA,NA,NA,NA,"DAUBIE","ROMAIN","M",1980-05-05,"DEPUTE",2022-06-19,NA,NA,NA,NA,NA,NA,"CENTRE",NA,"2EME CIRCONSCRIPTION DE L'AIN","Circonscription legislative","WIKIPEDIA"
"ain_029","RNE_0106732","106732","NULL","PA1012","DE LA VERPILLIERE","CHARLES","M",1954-05-31,"DEPUTE",2012-06-10,2017-06-10,"FM",NA,NA,NA,NA,NA,NA,"2EME CIRCONSCRIPTION DE L'AIN","Circonscription legislative","WIKIPEDIA"
"ain_029","RNE_0106732","106732","NULL","PA1012","DE LA VERPILLIERE","CHARLES","M",1954-05-31,"DEPUTE",2017-06-11,2022-06-20,"FM",NA,NA,NA,NA,NA,NA,"2EME CIRCONSCRIPTION DE L'AIN","Circonscription legislative","WIKIPEDIA"
"ain_048",NA,NA,NA,NA,"GUICHON","LUCIEN","M",1932-02-09,"DEPUTE",1986-03-16,1988-06-01,"FM",NA,NA,NA,NA,"DROITE",NA,"2EME CIRCONSCRIPTION DE L'AIN","Circonscription legislative","WIKIPEDIA"
"ain_048",NA,NA,NA,NA,"GUICHON","LUCIEN","M",1932-02-09,"DEPUTE",1988-06-05,1993-03-15,"FM",NA,NA,NA,NA,"DROITE",NA,"2EME CIRCONSCRIPTION DE L'AIN","Circonscription legislative","WIKIPEDIA"
"ain_048",NA,NA,NA,NA,"GUICHON","LUCIEN","M",1932-02-09,"DEPUTE",1993-03-21,1997-05-20,"FM",NA,NA,NA,NA,"DROITE",NA,"2EME CIRCONSCRIPTION DE L'AIN","Circonscription legislative","WIKIPEDIA"
"ain_048",NA,NA,NA,NA,"GUICHON","LUCIEN","M",1932-02-09,"DEPUTE",1997-05-25,2002-06-01,"FM",NA,NA,NA,NA,"DROITE",NA,"2EME CIRCONSCRIPTION DE L'AIN","Circonscription legislative","WIKIPEDIA"
"ain_048",NA,NA,NA,NA,"GUICHON","LUCIEN","M",1932-02-09,"DEPUTE",2002-06-18,2007-06-20,"FM",NA,NA,NA,NA,"DROITE",NA,"2EME CIRCONSCRIPTION DE L'AIN","Circonscription legislative","WIKIPEDIA"
"ain_060",NA,NA,NA,NA,"MILLON","CHARLES","M",1945-11-12,"DEPUTE",1986-03-16,1988-06-01,"FM","VP",1986-04-04,1988-05-14,"FM","CENTRE",NA,"2EME CIRCONSCRIPTION DE L'AIN","Circonscription legislative","WIKIPEDIA"
"ain_060",NA,NA,NA,NA,"MILLON","CHARLES","M",1945-11-12,"DEPUTE",1978-03-12,1981-06-10,"FM",NA,NA,NA,NA,"CENTRE",NA,"2EME CIRCONSCRIPTION DE L'AIN","Circonscription legislative","WIKIPEDIA"
"ain_060",NA,NA,NA,NA,"MILLON","CHARLES","M",1945-11-12,"DEPUTE",1981-06-14,1986-03-10,"FM",NA,NA,NA,NA,"CENTRE",NA,"2EME CIRCONSCRIPTION DE L'AIN","Circonscription legislative","WIKIPEDIA"
"ain_004",NA,NA,NA,NA,"ARMAND","GERARD","M",1941-07-09,"DEPUTE",1995-06-18,1997-04-21,"FM",NA,NA,NA,NA,NA,NA,"3EME CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_030","SEN_058913V","NULL","58913V","NULL","DE LA VERPILLIERE","GUY","M",1922-08-09,"DEPUTE",1967-03-05,1968-06-20,"FM",NA,NA,NA,NA,NA,NA,"3EME CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_030","SEN_058913V","NULL","58913V","NULL","DE LA VERPILLIERE","GUY","M",1922-08-09,"DEPUTE",1968-06-23,1973-03-01,"FM",NA,NA,NA,NA,NA,NA,"3EME CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_030","SEN_058913V","NULL","58913V","NULL","DE LA VERPILLIERE","GUY","M",1922-08-09,"DEPUTE",1973-03-03,1978-03-10,"FM",NA,NA,NA,NA,NA,NA,"3EME CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_030","SEN_058913V","NULL","58913V","NULL","DE LA VERPILLIERE","GUY","M",1922-08-09,"DEPUTE",1978-03-12,1980-01-01,"AU",NA,NA,NA,NA,NA,NA,"3EME CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_033",NA,NA,NA,NA,"DUBUIS","EMILE","M",1911-03-20,"DEPUTE",1958-11-23,1962-11-10,"FM",NA,NA,NA,NA,"CENTRE",NA,"3EME CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_033",NA,NA,NA,NA,"DUBUIS","EMILE","M",1911-03-20,"DEPUTE",1962-11-18,1967-03-01,"FM",NA,NA,NA,NA,"CENTRE",NA,"3EME CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_043",NA,NA,NA,NA,"GIVERNET","OLGA","F",1981-10-17,"DEPUTE",2017-06-18,2022-06-20,"FM",NA,NA,NA,NA,"LREM",NA,"3EME CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_043",NA,NA,NA,NA,"GIVERNET","OLGA","F",1981-10-17,"DEPUTE",2022-06-21,NA,NA,NA,NA,NA,NA,"LREM",NA,"3EME CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_060",NA,NA,NA,NA,"MILLON","CHARLES","M",1945-11-12,"DEPUTE",1995-05-18,1997-06-12,"FM",NA,NA,NA,NA,"CENTRE",NA,"3EME CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_060",NA,NA,NA,NA,"MILLON","CHARLES","M",1945-11-12,"DEPUTE",1988-06-05,1993-03-15,"FM",NA,NA,NA,NA,"CENTRE",NA,"3EME CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_060",NA,NA,NA,NA,"MILLON","CHARLES","M",1945-11-12,"DEPUTE",1993-03-21,1995-06-18,"MINISTRE",NA,NA,NA,NA,"CENTRE",NA,"3EME CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_071",NA,NA,NA,NA,"RAVASSARD","NOEL","M",1935-07-25,"DEPUTE",1980-11-30,1981-05-22,"FM",NA,NA,NA,NA,"SOC",NA,"3EME CIRCONSCRIPTION AIN","Circonscription legislative","ARCHIVES"
"ain_071",NA,NA,NA,NA,"RAVASSARD","NOEL","M",1935-07-25,"DEPUTE",1981-06-21,1986-04-01,"FM",NA,NA,NA,NA,"SOC",NA,"3EME CIRCONSCRIPTION AIN","Circonscription legislative","ARCHIVES"
"ain_071",NA,NA,NA,NA,"RAVASSARD","NOEL","M",1935-07-25,"DEPUTE",1986-03-16,1988-05-14,"FM",NA,NA,NA,NA,"SOC",NA,"3EME CIRCONSCRIPTION AIN","Circonscription legislative","ARCHIVES"
"ain_079",NA,NA,NA,NA,"TROMPILLE","STEPHANE","M",1982-12-01,"DEPUTE",2017-06-18,2022-06-20,"FM",NA,NA,NA,NA,"LREM",NA,"4EME CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_020",NA,NA,NA,NA,"BUISSON","JEROME","M",1973-01-15,"DEPUTE",2022-06-22,NA,NA,NA,NA,NA,NA,"EXTD",NA,"4EME CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_082",NA,NA,NA,NA,"VOISIN","MICHEL","M",1944-10-06,"DEPUTE",1988-06-05,1993-03-15,"FM",NA,NA,NA,NA,"CENTRE",NA,"4EME CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_082",NA,NA,NA,NA,"VOISIN","MICHEL","M",1944-10-06,"DEPUTE",1993-03-21,1997-05-20,"FM",NA,NA,NA,NA,"CENTRE",NA,"4EME CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_082",NA,NA,NA,NA,"VOISIN","MICHEL","M",1944-10-06,"DEPUTE",1997-05-25,2002-06-01,"FM",NA,NA,NA,NA,"CENTRE",NA,"4EME CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_082",NA,NA,NA,NA,"VOISIN","MICHEL","M",1944-10-06,"DEPUTE",2002-06-18,2007-06-20,"FM",NA,NA,NA,NA,"DROITE",NA,"4EME CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_082",NA,NA,NA,NA,"VOISIN","MICHEL","M",1944-10-06,"DEPUTE",2007-06-20,2012-06-19,"FM",NA,NA,NA,NA,"DROITE",NA,"4EME CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_082",NA,NA,NA,NA,"VOISIN","MICHEL","M",1944-10-06,"DEPUTE",2012-06-20,2017-06-20,"FM",NA,NA,NA,NA,"DROITE",NA,"4EME CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_001",NA,NA,NA,NA,"ABAD","DAMIEN","M",1980-04-05,"DEPUTE",2012-06-17,2017-06-10,"FM",NA,NA,NA,NA,"DROITE",NA,"5EME CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_001",NA,NA,NA,NA,"ABAD","DAMIEN","M",1980-04-05,"DEPUTE",2017-06-18,2022-06-10,"FM",NA,NA,NA,NA,"DROITE",NA,"5EME CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_001",NA,NA,NA,NA,"ABAD","DAMIEN","M",1980-04-05,"DEPUTE",2022-06-19,NA,NA,NA,NA,NA,NA,"DROITE",NA,"5EME CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_003",NA,NA,NA,NA,"ANTHONIOZ","MARCEL","M",1911-04-26,"DEPUTE",1951-06-17,1955-12-01,"FM",NA,NA,NA,NA,"CENTRE",NA,"AIN","Circonscription legislative","WIKIPEDIA"
"ain_003",NA,NA,NA,NA,"ANTHONIOZ","MARCEL","M",1911-04-26,"DEPUTE",1956-01-02,1958-11-01,"FM",NA,NA,NA,NA,"IPAS",NA,"AIN","Circonscription legislative","WIKIPEDIA"
"ain_012",NA,NA,NA,NA,"BILLIEMAZ","AUGUSTE","M",1903-08-29,"SENATEUR",1959-04-26,1962-09-20,"FM",NA,NA,NA,NA,"RAD",NA,"AIN","Circonscription legislative","WIKIPEDIA"
"ain_012",NA,NA,NA,NA,"BILLIEMAZ","AUGUSTE","M",1903-08-29,"SENATEUR",1962-09-23,1971-09-20,"FM",NA,NA,NA,NA,"RAD",NA,"AIN","Circonscription legislative","WIKIPEDIA"
"ain_012",NA,NA,NA,NA,"BILLIEMAZ","AUGUSTE","M",1903-08-29,"SENATEUR",1971-09-26,1980-09-20,"FM",NA,NA,NA,NA,"RAD",NA,"AIN","Circonscription legislative","WIKIPEDIA"
"ain_018",NA,NA,NA,NA,"BRAYARD","JOSEPH","M",1901-03-31,"SENATEUR",1959-04-26,1962-09-20,"FM",NA,NA,NA,NA,"DVG",NA,"AIN","Circonscription legislative","WIKIPEDIA"
"ain_018",NA,NA,NA,NA,"BRAYARD","JOSEPH","M",1901-03-31,"SENATEUR",1962-09-23,1971-09-20,"FM",NA,NA,NA,NA,"DVG",NA,"AIN","Departement","WIKIPEDIA"
"ain_065",NA,NA,NA,NA,"PEPIN","JEAN","M",1939-11-23,"SENATEUR",1989-09-24,1998-09-20,"FM",NA,NA,NA,NA,NA,NA,"AIN","Departement","WIKIPEDIA"
"ain_065",NA,NA,NA,NA,"PEPIN","JEAN","M",1939-11-23,"SENATEUR",1998-09-27,2008-09-20,"FM",NA,NA,NA,NA,NA,NA,"AIN","Departement","WIKIPEDIA"
"ain_073","SEN_058928D","NULL","58928D","NULL","RUET","ROLAND","M",1921-10-29,"SENATEUR",1971-09-26,1980-09-20,"FM",NA,NA,NA,NA,"CENTRE",NA,"AIN","Circonscription legislative","WIKIPEDIA"
"ain_073","SEN_058928D","NULL","58928D","NULL","RUET","ROLAND","M",1921-10-29,"SENATEUR",1980-09-28,1989-09-20,"FM",NA,NA,NA,NA,"CENTRE",NA,"AIN","Circonscription legislative","WIKIPEDIA"
"ain_074",NA,NA,NA,NA,"SAINT PIERRE","DOMINIQUE","M",1940-11-10,"DEPUTE",1986-03-16,1988-05-14,"FM",NA,NA,NA,NA,"SOC",NA,"AIN","Circonscription legislative","WIKIPEDIA"
"ain_001",NA,NA,NA,NA,"ABAD","DAMIEN","M",1980-04-05,"CONSEILLER REGIONAL",2010-03-21,2015-04-01,"FM",NA,NA,NA,NA,"DROITE",NA,"AIN","Departement","WIKIPEDIA"
"ain_008","RNE_0106690","106690","08059E","NULL","BERTHOU","JACQUES","M",1940-03-03,"SENATEUR",2008-10-01,2014-09-20,"FM",NA,NA,NA,NA,NA,NA,"AIN","Departement","WIKIPEDIA"
"ain_010",NA,NA,NA,NA,"BERTRAND","JEAN MICHEL","M",1943-06-06,"CONSEILLER REGIONAL",1992-03-22,1998-03-10,"FM",NA,NA,NA,NA,NA,NA,"AIN","Departement","WIKIPEDIA"
"ain_010",NA,NA,NA,NA,"BERTRAND","JEAN MICHEL","M",1943-06-06,"CONSEILLER REGIONAL",1998-03-15,2002-06-01,"AU",NA,NA,NA,NA,NA,NA,"AIN","Departement","WIKIPEDIA"
"ain_014","RNE_0000794","794","NULL","PA267075","BLANC","ETIENNE","M",1954-08-29,"CONSEILLER REGIONAL",1992-03-27,1998-03-10,"FM",NA,NA,NA,NA,NA,NA,"AIN","Departement","WIKIPEDIA"
"ain_014","RNE_0000794","794","NULL","PA267075","BLANC","ETIENNE","M",1954-08-29,"CONSEILLER REGIONAL",1998-03-15,2002-07-22,"AU","VP",1998-03-16,1998-12-11,NA,"CENTRE",NA,"AIN","Departement","WIKIPEDIA"
"ain_014","RNE_0000794","794","NULL","PA267075","BLANC","ETIENNE","M",1954-08-29,"CONSEILLER REGIONAL",1992-03-27,1998-03-10,"FM",NA,NA,NA,NA,"CENTRE",NA,"AIN","Departement","WIKIPEDIA"
"ain_015",NA,NA,NA,NA,"BLATRIX CONTAT","FLORENCE","F",1966-03-30,"SENATEUR",2020-09-27,NA,NA,NA,NA,NA,NA,"SOC",NA,"AIN","Departement","WIKIPEDIA"
"ain_019",NA,NA,NA,NA,"BRETON ","XAVIER","M",1962-11-25,"CONSEILLER REGIONAL",2016-01-04,2021-06-20,"FM",NA,NA,NA,NA,"DROITE",NA,"AIN","Departement","WIKIPEDIA"
"ain_019",NA,NA,NA,NA,"BRETON ","XAVIER","M",1962-11-25,"CONSEILLER REGIONAL",2021-06-27,NA,NA,NA,NA,NA,NA,"DROITE",NA,"AIN","Departement","WIKIPEDIA"
"ain_020",NA,NA,NA,NA,"BUISSON","JEROME","M",1973-01-15,"CONSEILLER REGIONAL",2021-06-27,NA,NA,NA,NA,NA,NA,"EXTD",NA,"AIN","Departement","WIKIPEDIA"
"ain_024",NA,NA,NA,NA,"CHAIZE","PATRICK","M",1963-03-22,"SENATEUR",2014-10-01,2020-09-30,"FM",NA,NA,NA,NA,"DROITE",NA,"AIN","Departement","WIKIPEDIA"
"ain_024",NA,NA,NA,NA,"CHAIZE","PATRICK","M",1963-03-22,"SENATEUR",2020-10-01,NA,NA,NA,NA,NA,NA,"DROITE",NA,"AIN","Departement","WIKIPEDIA"
"ain_030",NA,NA,NA,NA,"DE LA VERPILLIERE","GUY","M",1922-08-09,"SENATEUR",1980-09-28,1989-09-20,"FM",NA,NA,NA,NA,"CD",NA,"AIN","Departement","WIKIPEDIA"
"ain_037",NA,NA,NA,NA,"EMIN","JEAN-PAUL","M",1939-09-17,"SENATEUR",1989-09-24,1998-09-20,"FM",NA,NA,NA,NA,NA,NA,"AIN","Departement","WIKIPEDIA"
"ain_037",NA,NA,NA,NA,"EMIN","JEAN-PAUL","M",1939-09-17,"SENATEUR",1998-09-27,2008-09-20,"FM",NA,NA,NA,NA,NA,NA,"AIN","Departement","WIKIPEDIA"
"ain_037",NA,NA,NA,NA,"EMIN","JEAN-PAUL","M",1939-06-17,"CONSEILLER DEPARTEMENTAL",NA,NA,NA,"VP",NA,NA,NA,NA,NA,"AIN","Departement","WIKIPEDIA"
"ain_043",NA,NA,NA,NA,"GIVERNET","OLGA","F",1981-10-17,"CONSEILLER REGIONAL",2015-12-18,2021-07-01,"FM",NA,NA,NA,NA,"CENTRE",NA,"AIN","Departement","WIKIPEDIA"
"ain_046",NA,NA,NA,NA,"GOY-CHAVENT","SYLVIE","F",1963-05-23,"SENATEUR",2008-09-21,2014-09-20,"FM",NA,NA,NA,NA,NA,"UMP","AIN","Departement","WIKIPEDIA"
"ain_046",NA,NA,NA,NA,"GOY-CHAVENT","SYLVIE","F",1963-05-23,"SENATEUR",2014-09-28,2020-09-20,"FM",NA,NA,NA,NA,NA,"UMP","AIN","Departement","WIKIPEDIA"
"ain_046",NA,NA,NA,NA,"GOY-CHAVENT","SYLVIE","F",1963-05-23,"SENATEUR",2020-09-27,NA,NA,NA,NA,NA,NA,NA,"LR","AIN","Departement","WIKIPEDIA"
"ain_046",NA,NA,NA,NA,"GOY-CHAVENT","SYLVIE","F",1963-05-23,"CONSEILLER REGIONAL",2015-12-13,2021-06-20,"FM",NA,NA,NA,NA,NA,NA,"AIN","Departement","WIKIPEDIA"
"ain_055",NA,NA,NA,NA,"MAZUIR","RACHEL","M",1940-02-12,"CONSEILLER REGIONAL",1998-03-15,2004-03-15,"FM",NA,NA,NA,NA,"SOC",NA,"AIN","Departement","WIKIPEDIA"
"ain_055",NA,NA,NA,NA,"MAZUIR","RACHEL","M",1940-02-12,"SENATEUR",2014-10-01,2020-09-30,"FM",NA,NA,NA,NA,NA,NA,"AIN","Departement","WIKIPEDIA"
"ain_055",NA,NA,NA,NA,"MAZUIR","RACHEL","M",1940-02-12,"SENATEUR",2008-10-01,2014-09-30,"FM",NA,NA,NA,NA,NA,NA,"AIN","Departement","WIKIPEDIA"
"ain_060",NA,NA,NA,NA,"MILLON","CHARLES","M",1945-11-12,"CONSEILLER REGIONAL",1986-03-16,1992-03-20,"FM","P",1988-10-27,1992-03-20,"FM",NA,NA,"AIN","Departement","WIKIPEDIA"
"ain_060",NA,NA,NA,NA,"MILLON","CHARLES","M",1945-11-12,"CONSEILLER REGIONAL",1992-03-22,1998-03-10,"FM","P",1992-03-22,1998-03-10,"FM",NA,NA,"AIN","Departement","WIKIPEDIA"
"ain_060",NA,NA,NA,NA,"MILLON","CHARLES","M",1945-11-12,"CONSEILLER REGIONAL",1998-03-15,2003-01-01,NA,"P",1998-03-15,1999-01-03,NA,"CENTRE",NA,"AIN","Departement","WIKIPEDIA"
"ain_061",NA,NA,NA,NA,"MORETEAU","JEAN","M",1942-06-23,"CONSEILLER REGIONAL",1986-03-16,1992-03-20,"FM",NA,NA,NA,NA,NA,NA,"AIN","Departement","WIKIPEDIA"
"ain_071",NA,NA,NA,NA,"RAVASSARD","NOEL","M",1935-07-25,"CONSEILLER REGIONAL",1998-03-15,2004-03-15,"FM",NA,NA,NA,NA,"SOC",NA,"AIN","Departement","ARCHIVES"
"ain_074",NA,NA,NA,NA,"SAINT PIERRE","DOMINIQUE","M",1940-11-10,"CONSEILLER REGIONAL",1986-03-16,1992-03-15,"FM",NA,NA,NA,NA,"SOC",NA,"AIN","Departement","WIKIPEDIA"
"ain_074",NA,NA,NA,NA,"SAINT PIERRE","DOMINIQUE","M",1940-11-10,"CONSEILLER REGIONAL",1992-03-22,1998-03-10,"FM",NA,NA,NA,NA,"ARE",NA,"AIN","Departement","WIKIPEDIA"
"ain_074",NA,NA,NA,NA,"SAINT PIERRE","DOMINIQUE","M",1940-11-10,"CONSEILLER REGIONAL",1998-03-15,2004-03-15,"FM",NA,NA,NA,NA,"ARE",NA,"AIN","Departement","WIKIPEDIA"
"ain_027",NA,NA,NA,NA,"COMBIER","PAUL","M",1933-01-01,"CONSEILLER DEPARTEMENTAL",1976-03-07,1982-03-10,"FM","VP",1976-03-07,1982-03-10,"FM","SOC",NA,"AMBERIEU EN BUGEY","Canton","ARCHIVES"
"ain_027",NA,NA,NA,NA,"COMBIER","PAUL","M",1933-01-01,"CONSEILLER DEPARTEMENTAL",1976-03-07,1982-03-10,"FM",NA,NA,NA,NA,NA,NA,"AMBERIEU EN BUGEY","Canton","WIKIPEDIA"
"ain_067",NA,NA,NA,NA,"PIRALLA","GILLES","M",1949-10-05,"CONSEILLER DEPARTEMENTAL",1994-03-20,2001-03-10,"FM",NA,NA,NA,NA,"DROITE",NA,"AMBERIEU EN BUGEY","Canton","WIKIPEDIA"
"ain_077",NA,NA,NA,NA,"TOURNIER BILLION","LEON","M",1899-04-02,"CONSEILLER DEPARTEMENTAL",1958-04-20,1964-03-05,"FM",NA,NA,NA,NA,NA,NA,"AMBERIEU EN BUGEY","Canton","ARCHIVES"
"ain_077",NA,NA,NA,NA,"TOURNIER BILLION","LEON","M",1899-04-02,"CONSEILLER DEPARTEMENTAL",1964-03-08,1970-09-20,"FM",NA,NA,NA,NA,NA,NA,"AMBERIEU EN BUGEY","Canton","ARCHIVES"
"ain_077",NA,NA,NA,NA,"TOURNIER BILLION","LEON","M",1899-04-02,"CONSEILLER DEPARTEMENTAL",1970-03-23,1976-03-05,"FM",NA,NA,NA,NA,NA,NA,"AMBERIEU EN BUGEY","Canton","ARCHIVES"
"ain_016",NA,NA,NA,NA,"BOLLIET","GILLES","M",NA,"CONSEILLER MUNICIPAL",1992-01-01,1995-06-10,"FM","M",1992-01-01,1995-06-10,"FM","DVD",NA,"AMBERIEU EN BUGEY","Commune","WIKIPEDIA"
"ain_021",NA,NA,NA,NA,"BUY","ANTOINE","M",1907-08-22,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM","DVG",NA,"AMBERIEU EN BUGEY","Commune","ARCHIVES"
"ain_021",NA,NA,NA,NA,"BUY","ANTOINE","M",1907-08-22,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM",NA,NA,NA,NA,NA,NA,"AMBERIEU EN BUGEY","Commune","ARCHIVES"
